RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,HelmAgeGroup,Elapsed,Points,Code
1,10,74,"REUSCHER, MALTE",Germany,,M,30-39M,00:34:30,10.0,
1,71,44,"KÖSTER, PHILIP",Germany,,M,20-29M,00:41:32,71.0,
1,154,1093,"PAGEL, HENRICK",Germany,,M,20-29M,00:47:10,154.0,
1,206,67,"HÖLZL, JONAS",Germany,,M,20-29M,00:50:03,206.0,
1,242,981,"NEUMANN, IVO",Germany,,M,40-49M,00:53:10,242.0,
1,329,263,"KRENZEL, CHRISTOPH",Germany,,M,50-59M,00:57:43,329.0,
1,353,580,"FINKBEINER, MATTHIAS",Germany,,M,50-59M,00:59:36,353.0,
1,360,1203,"SCHAARSCHMIDT, OLIVIER",Germany,,M,50-59M,00:59:57,360.0,
1,406,365,"HOCK, MICHAEL",Germany,,M,50-59M,01:02:14,406.0,
1,433,368,"HOMMEL, PHILLIP",Germany,,M,30-39M,01:03:53,433.0,
1,454,413,"LÜBKERT, KAY",Germany,,M,50-59M,01:05:19,454.0,
1,457,1028,"LINDENMAIER, TORBEN",Germany,,M,20-29M,01:05:33,457.0,
1,477,1209,"SCHLEGEL, MARCO",Germany,,M,40-49M,01:07:42,477.0,
1,480,561,"BUERGER, MICHAEL",Germany,,M,50-59M,01:07:52,480.0,
1,498,276,"HEINRICHS, JÖRG",Germany,,M,50-59M,01:10:03,498.0,
1,562,474,"RENNER, DETLEF",Germany,,M,60+M,01:15:50,562.0,
1,572,1225,"MEEUW, FOLKERT",Germany,,M,50-59M,01:17:39,572.0,
1,578,346,"GIELEN, CHRISTOPH",Germany,,M,30-39M,01:18:40,578.0,
1,610,1219,"EMSER, ARTHUR",Germany,,M,40-49M,01:22:53,610.0,
1,679,8,"DEUS, CHRISTOPH",Germany,,M,30-39M,,,DNF
1,679,93,"LAUFER, ANDY",Germany,,M,50-59M,,,DNF
1,679,115,"TORAMAN, MELEK",Germany,,F,45+F,,,DNF
1,679,138,"FREY, VINCENT",Germany,,M,40-49M,,,DNF
1,679,142,"WINTER, MARKUS",Germany,,M,50-59M,,,DNF
1,679,179,"RUEGMER, ROBERT",Germany,,M,50-59M,,,DNF
1,679,215,"MOLDENHAUER, THOMAS",Germany,,M,50-59M,,,DNF
1,679,246,"FORTENBACHER, FELIX",Germany,,M,40-49M,,,DNF
1,679,257,"WAGNER, THOMAS",Germany,,M,50-59M,,,DNF
1,679,296,"KIRSCH, SEBASTIAN",Germany,,M,30-39M,,,DNF
1,679,317,"GERSCH, ANDRE",Germany,,M,50-59M,,,DNF
1,679,318,"LINKE, FRANK",Germany,,M,50-59M,,,DNF
